"announced","budget","coinvestigators","contest","descriptors","duration","panel","start"
"2013-03-15","353500","7","SONATA","ST10_14|ST10_13|ST10_16","30","ST10","2014-02-20"
"2013-03-15","328866","4","SONATA","ST10_5|ST10_9|ST5_23","36","ST10","2014-10-01"
"2013-03-15","287723","2","SONATA","NZ8_2|ST10_8|ST10_15","30","ST10","2014-04-01"
"2013-09-16","149740","2","PRELUDIUM","HS6_5|HS6_1","36","HS6","2014-08-27"
"2013-03-15","280146","2","SONATA","ST10_15|ST10_8|ST10_4","32","ST10","2014-03-28"
"2014-03-17","99442","2","PRELUDIUM","HS2_9|HS2_8","24","HS2","2015-01-28"
"2013-03-15","365660","4","SONATA","ST10_8","36","ST10","2014-04-01"
"2013-09-16","149980","2","PRELUDIUM","ST5_16|ST5_14","36","ST5","2014-08-19"
"2013-03-15","375600","7","SONATA","ST2_3|ST3_18|ST5_8","30","ST2","2014-03-13"
"2014-09-15","99800","2","PRELUDIUM","ST7_5","24","ST7","2015-07-15"
"2013-03-15","164900","2","SONATA","ST2_1|ST2_11|ST9_15","36","ST2","2014-04-16"
"2014-09-15","54660","2","PRELUDIUM","HS5_5|HS5_2","24","HS5","2015-08-07"
"2013-03-15","378100","7","SONATA","ST2_7|ST2_16|ST2_3","36","ST2","2014-03-13"
"2013-03-15","292000","2","SONATA","ST2_2|ST2_3","36","ST2","2014-02-18"
"2013-03-15","356000","2","SONATA","ST2_8|ST1_16|ST2_15","36","ST2","2014-04-01"
"2013-03-15","361000","2","SONATA","ST3_12","36","ST3","2014-04-03"
"2013-09-16","150000","2","PRELUDIUM","ST5_24|ST5_2|ST5_14","36","ST5","2014-08-14"
"2013-03-15","572360","6","SONATA","ST3_7","36","ST3","2014-04-01"
"2013-03-15","367920","3","SONATA","ST3_1","36","ST3","2014-03-18"
"2014-09-15","96048","2","PRELUDIUM","HS5_4","24","HS5","2015-09-18"
"2013-03-15","499500","4","SONATA","ST3_7|ST3_10","36","ST3","2014-03-18"
"2013-03-15","390000","2","SONATA","ST4_6|ST4_8","36","ST4","2014-06-13"
"2013-03-15","549340","4","SONATA","ST5_4|ST2_9|ST4_3","24","ST4","2014-04-01"
"2013-09-16","121200","2","PRELUDIUM","ST1_15|ST6_6","36","ST6","2014-07-15"
"2013-03-15","873700","3","SONATA","ST4_1|ST4_7","36","ST4","2014-03-18"
"2013-03-15","486400","4","SONATA","ST4_16|ST5_14|ST5_16","36","ST4","2014-02-13"
"2013-09-16","74993","2","PRELUDIUM","HS4_8|HS4_13","18","HS4","2014-08-11"
"2013-03-15","462100","2","SONATA","ST4_5|ST4_6|ST4_8","36","ST4","2014-02-14"
"2013-09-16","75760","2","PRELUDIUM","HS4_8|HS4_7","24","HS4","2014-07-29"
"2013-03-15","398000","5","SONATA","ST5_16|ST5_23|ST5_15","30","ST5","2014-03-11"
"2013-09-16","149988","2","PRELUDIUM","ST7_5|ST3_12","36","ST7","2014-07-15"
"2013-03-15","521960","5","SONATA","ST5_10|ST5_16|ST5_19","36","ST5","2014-03-13"
"2013-09-16","121024","2","PRELUDIUM","HS2_1|HS2_2|HS2_3","36","HS2","2014-07-21"
"2013-03-15","573700","3","SONATA","ST5_3|ST5_5|ST5_23","36","ST5","2014-02-17"
"2013-03-15","417200","5","SONATA","ST5_3|ST5_9|ST5_12","36","ST5","2014-02-17"
"2014-09-15","98560","2","PRELUDIUM","ST5_3|ST5_9","24","ST5","2015-09-22"
"2013-03-15","236050","1","SONATA","ST5_12|ST5_4|ST3_15","36","ST5","2014-02-18"
"2014-09-15","100000","2","PRELUDIUM","ST7_11|ST1_10","24","ST7","2015-08-03"
"2013-03-15","423680","4","SONATA","ST5_21|ST5_20|NZ3_2","36","ST5","2014-02-17"
"2014-09-15","99920","2","PRELUDIUM","ST8_5|ST8_13","24","ST8","2015-09-22"
"2013-03-15","256640","3","SONATA","ST5_8|ST5_10|ST5_23","24","ST5","2014-03-13"
"2013-03-15","490040","4","SONATA","ST5_10|ST5_9|ST4_9","36","ST5","2014-04-01"
